baseline,S1,S2,S12,S15,S14
938135.2656114367,1243318.5814137186,1300267.813283602,,,1321437.8078856692
839318.170948498,1137687.2457488338,1164534.7913307312,,,1199399.5790723967
869975.4965392571,1127591.0096128976,1157896.2634719883,,,1189610.696227862
928513.8772468778,1183841.7847961627,1209691.945223012,,,1242216.288688497
997368.5292145462,1280482.5477895436,1327096.6635470686,,,1356133.8551292452
948170.2375745072,1247718.5976249333,1278729.1013709246,,,1308759.9339915046
740610.0323350007,1068949.3514549707,1114931.3527969536,,,1143569.9493479289
910487.8762897268,1195510.5113214022,1247707.7298410984,,,1278214.9515625385
969939.1525990658,1255432.6041887216,1313324.9956950035,,,1343860.8971320256
1036585.2470663813,1302437.8311516298,1340738.7246312385,,,1370294.9342410634
